alias,name,category_alias,category_title,latitude,longitude,address1,address2,address3,city,zip_code,country,state,display_address_0,display_address_1,display_address_2,display_address_3,display_phone
wheatcroft-nottingham,Wheatcroft,gardening,Nurseries & Gardening,52.903721,-1.124827,Landmere Lane,,Edwalton,Nottingham,NG12 4DE,GB,NGM,Landmere Lane,Edwalton,Nottingham NG12 4DE,United Kingdom,+44 115 921 6061
field-house-alpines-nottingham,Field House Alpines,gardening,Nurseries & Gardening,52.9549472,-1.1488317,,,,Nottingham,NG1 2AP,GB,NGM,Nottingham NG1 2AP,United Kingdom,,,
moores-nurseries-and-garden-centre-nottingham-2,Moores Nurseries & Garden Centre,gardening,Nurseries & Gardening,52.8721042,-1.0510009,156 Melton Road,Stanton-On-The-Wolds,Keyworth,Nottingham,NG12 5BQ,GB,NGM,156 Melton Road,Stanton-On-The-Wolds,Keyworth,Nottingham NG12 5BQ,+44 115 937 3717
andrews-sykes-hire-ilkeston,Andrews Sykes Hire,gardening,Nurseries & Gardening,52.97764,-1.321,Unit 20 Manners Avenue,,Manners Industrial Estate,Ilkeston,DE7 8EF,GB,DBY,Unit 20 Manners Avenue,Manners Industrial Estate,Ilkeston DE7 8EF,United Kingdom,+44 115 930 0179
interhire-power-tool-services-ilkeston,Interhire Power Tool Services,gardening,Nurseries & Gardening,52.968243,-1.305196,Park Road,,,Ilkeston,DE7 5DA,GB,DBY,Park Road,Ilkeston DE7 5DA,United Kingdom,,+44 115 930 6382
marwood-group-ilkeston,Marwood Group,gardening,Nurseries & Gardening,52.950451,-1.294274,Crompton Road,,,Ilkeston,DE7 4BG,GB,DBY,Crompton Road,Ilkeston DE7 4BG,United Kingdom,,+44 115 930 4334
mower-co-nottingham,Mower Co,gardening,Nurseries & Gardening,53.0232052,-1.2220528,361-363 Watnall Road,,Hucknall,Nottingham,NG15 6EP,GB,NGM,361-363 Watnall Road,Hucknall,Nottingham NG15 6EP,United Kingdom,+44 115 963 3909
mansfield-plant-hire-nottingham,Mansfield Plant Hire,gardening,Nurseries & Gardening,53.081428,-1.16924,Nottingham Road,,Ravenshead,Nottingham,NG15 9HJ,GB,NGM,Nottingham Road,Ravenshead,Nottingham NG15 9HJ,United Kingdom,+44 1623 796600
ravenshead-nurseries-and-garden-centre-nottingham,Ravenshead Nurseries and Garden Centre,gardening,Nurseries & Gardening,53.081428,-1.16924,Nottingham Road,Ravenshead,,Nottingham,NG15 9HJ,GB,NGM,Nottingham Road,Ravenshead,Nottingham NG15 9HJ,United Kingdom,+44 1623 791515
p-r-s-hire-services-nottingham,P R S Hire Services,gardening,Nurseries & Gardening,52.978343,-1.15978,5 Ellesmere Business Park,,,Nottingham,NG5 1DX,GB,NGM,5 Ellesmere Business Park,Nottingham NG5 1DX,United Kingdom,,+44 115 985 7575
emmerdale-turf-nottingham,Emmerdale Turf,gardening,Nurseries & Gardening,52.9549472,-1.1488317,,,,Nottingham,NG1 2AP,GB,NGM,Nottingham NG1 2AP,United Kingdom,,,+44 115 938 4769
zaktyl-design-nottingham,Zaktyl Design,gardening,Nurseries & Gardening,,,,,,Nottingham,,GB,NGM,Nottingham,United Kingdom,,,+44 115 968 1384
portico-doors-nottingham,Portico Doors,gardening,Nurseries & Gardening,52.967522,-1.185912,36 Aspley Lane,,,Nottingham,NG8 5GF,GB,NGM,36 Aspley Lane,Nottingham NG8 5GF,United Kingdom,,+44 115 929 8398
timmermans-of-woodborough-nottingham,Timmermans Of Woodborough,gardening,Nurseries & Gardening,53.0229606,-1.0512209,Lowdham Lane,Woodborough,,Nottingham,NG14,GB,NGM,Lowdham Lane,Woodborough,Nottingham NG14,United Kingdom,+44 115 966 4033
sinbad-plant-hire-nottingham,Sinbad Plant Hire,gardening,Nurseries & Gardening,52.938853,-1.262754,Hickings Lane,,Stapleford,Nottingham,NG9 8PJ,GB,NGM,Hickings Lane,Stapleford,Nottingham NG9 8PJ,United Kingdom,+44 115 922 3333
greenwood-gardens-nottingham,Greenwood Gardens,gardening,Nurseries & Gardening,53.038766,-1.132849,Ollerton Road,,Arnold,Nottingham,NG5 8PR,GB,NGM,Ollerton Road,Arnold,Nottingham NG5 8PR,United Kingdom,+44 115 920 5757
leisuregardening-nottingham,leisuregardening,gardening,Nurseries & Gardening,52.8773193,-1.09402,Unit 1A Trace Works,Debdale Lane,,Nottingham,NG12,GB,NGM,Unit 1A Trace Works,Debdale Lane,Nottingham NG12,United Kingdom,+44 115 937 2727
trowell-garden-centre-nottingham,Trowell Garden Centre,gardening,Nurseries & Gardening,52.9491,-1.27169,Stapleford Road,Trowell,,Nottingham,NG9,GB,NGM,Stapleford Road,Trowell,Nottingham NG9,United Kingdom,+44 115 932 6920
pikes-oakfarm-nottingham,Pikes Oakfarm,gardening,Nurseries & Gardening,52.842595,-1.059438,1 Willoughby Lane,,Widmerpool,Nottingham,NG12 5PU,GB,NGM,1 Willoughby Lane,Widmerpool,Nottingham NG12 5PU,United Kingdom,+44 115 937 5204
wilbourn-garden-centre-nottingham,Wilbourn Garden Centre,gardening,Nurseries & Gardening,53.0988857,-1.2455115,60 Station Street,,Kirkby-in-Ashfield,Nottingham,NG17 7AU,GB,NGM,60 Station Street,Kirkby-in-Ashfield,Nottingham NG17 7AU,United Kingdom,+44 1623 753100
pinxton-plant-service-nottingham,Pinxton Plant Service,gardening,Nurseries & Gardening,52.983175,-1.181031,30 Lincoln Street,,Old Basford,Nottingham,NG6 0FX,GB,NGM,30 Lincoln Street,Old Basford,Nottingham NG6 0FX,United Kingdom,+44 115 979 0503
leverton-transport-nottingham,Leverton Transport,gardening,Nurseries & Gardening,52.9867852,-1.1817565,2 Bulwell Lane,,,Nottingham,NG6 0BT,GB,NGM,2 Bulwell Lane,Nottingham NG6 0BT,United Kingdom,,+44 115 978 0949
ashtead-plant-hire-co-nottingham-2,Ashtead Plant Hire Co,gardening,Nurseries & Gardening,52.946516,-1.123056,Daleside Road,,,Nottingham,NG2 4DJ,GB,NGM,Daleside Road,Nottingham NG2 4DJ,United Kingdom,,+44 115 958 0085
parker-tool-hire-nottingham,Parker Tool Hire,gardening,Nurseries & Gardening,52.9662909,-1.1071626,292 Carlton Hill,,Carlton,Nottingham,NG4 1GD,GB,NGM,292 Carlton Hill,Carlton,Nottingham NG4 1GD,United Kingdom,+44 115 987 9105
garage-door-co-nottingham,Garage Door Co,gardening,Nurseries & Gardening,52.9820449,-1.1959505,2 Broxtowe Lane,,,Nottingham,NG8 5NP,GB,NGM,2 Broxtowe Lane,Nottingham NG8 5NP,United Kingdom,,+44 115 942 3252
mike-finn-plant-and-machinery-nottingham,Mike Finn Plant & Machinery,gardening,Nurseries & Gardening,52.984602,-1.040017,3a Station Road,,Burton Joyce,Nottingham,NG14 5AN,GB,NGM,3a Station Road,Burton Joyce,Nottingham NG14 5AN,United Kingdom,+44 115 931 4047
merit-tool-hire-and-sales-nottingham,Merit Tool Hire & Sales,gardening,Nurseries & Gardening,52.969699,-1.082383,7 Gedling Road,,Carlton,Nottingham,NG4 3EX,GB,NGM,7 Gedling Road,Carlton,Nottingham NG4 3EX,United Kingdom,+44 115 940 0355
floralands-garden-centre-nottingham,Floralands Garden Centre,gardening,Nurseries & Gardening,53.0062799,-1.08213,Catfoot Lane,,Lambley,Nottingham,NG4 4QL,GB,NGM,Catfoot Lane,Lambley,Nottingham NG4 4QL,United Kingdom,+44 115 926 8137
g-t-plant-and-tool-hire-nottingham,G T Plant & Tool Hire,gardening,Nurseries & Gardening,52.902538,-0.99039,Foxhollow,Colston Road,Cropwell Bishop,Nottingham,NG12 3BJ,GB,NGM,Foxhollow,Colston Road,Cropwell Bishop,Nottingham NG12 3BJ,+44 1949 81588
greenacres-nursery-nottingham,Greenacres Nursery,gardening,Nurseries & Gardening,52.9962706,-1.0957866,322 Spring Lane,,Mapperley,Nottingham,NG3 5RQ,GB,NGM,322 Spring Lane,Mapperley,Nottingham NG3 5RQ,United Kingdom,+44 115 926 2951
hoisting-services-nottingham,Hoisting Services,gardening,Nurseries & Gardening,53.00018,-1.20297,Second Avenue,Greasley Street,,Nottingham,NG6 8NE,GB,NGM,Second Avenue,Greasley Street,Nottingham NG6 8NE,United Kingdom,+44 115 975 4222
a-a-r-t-construction-nottingham,A A R T Construction,gardening,Nurseries & Gardening,53.013015,-1.163578,14 Aldwich Close,Warren Hill,Arnold,Nottingham,NG5 9PP,GB,NGM,14 Aldwich Close,Warren Hill,Arnold,Nottingham NG5 9PP,+44 115 920 2720
speedy-hire-centres-midlands-nottingham,Speedy Hire Centres Midlands,gardening,Nurseries & Gardening,52.957367,-1.233768,Glaisdale Drive West,,,Nottingham,NG8 4GY,GB,NGM,Glaisdale Drive West,Nottingham NG8 4GY,United Kingdom,,+44 115 928 8888
amc-groundworks-nottingham,Amc Groundworks,gardening,Nurseries & Gardening,52.9565315,-1.0795701,Kestrel Business Centre,Private Road 2,Colwick Industrial Estate,Nottingham,NG4 2JR,GB,NGM,Kestrel Business Centre,Private Road 2,Colwick Industrial Estate,Nottingham NG4 2JR,+44 115 961 3448
p-t-whyler-nottingham,P T Whyler,gardening,Nurseries & Gardening,53.0037936,-1.104027,27 Middlebeck Drive,,Arnold,Nottingham,NG5 8AL,GB,NGM,27 Middlebeck Drive,Arnold,Nottingham NG5 8AL,United Kingdom,+44 115 953 3003
newtonz-nottingham,Newtonz,gardening,Nurseries & Gardening,52.9387565,-1.2290675,21 Magnolia Court Beeston,,,Nottingham,NG9 3LG,GB,NGM,21 Magnolia Court Beeston,Nottingham NG9 3LG,United Kingdom,,+44 115 922 7077
tren-hire-services-nottingham,Tren Hire Services,gardening,Nurseries & Gardening,53.008361,-1.212642,14 Bennerley Court,,,Nottingham,NG6 8UT,GB,NGM,14 Bennerley Court,Nottingham NG6 8UT,United Kingdom,,+44 115 977 1212
sinbad-tools-nottingham,Sinbad Tools,gardening,Nurseries & Gardening,52.9148166,-1.1330066,69 Boundary Road,,West Bridgford,Nottingham,NG2 7DB,GB,NGM,69 Boundary Road,West Bridgford,Nottingham NG2 7DB,United Kingdom,+44 115 923 5111
hilltop-nurseries-nottingham,Hilltop Nurseries,gardening,Nurseries & Gardening,52.990593,-1.074581,166 Lambley Lane,,Gedling,Nottingham,NG4 4PB,GB,NGM,166 Lambley Lane,Gedling,Nottingham NG4 4PB,United Kingdom,+44 115 961 2054
vital-hire-nottingham,Vital Hire,gardening,Nurseries & Gardening,52.931734,-1.2401657,28 Claremont Avenue,,Bramcote,Nottingham,NG9 3DG,GB,NGM,28 Claremont Avenue,Bramcote,Nottingham NG9 3DG,United Kingdom,+44 115 922 1159
woodlands-garden-centre-nottingham,Woodlands Garden Centre,gardening,Nurseries & Gardening,52.955206,-1.254438,The Bungalow,Trowell Moor,Trowell,Nottingham,NG9 3PQ,GB,NGM,The Bungalow,Trowell Moor,Trowell,Nottingham NG9 3PQ,+44 115 928 3200
toton-plant-hire-nottingham,Toton Plant Hire,gardening,Nurseries & Gardening,52.953354,-1.060342,Private Road 4,,Colwick Industrial Estate,Nottingham,NG4 2JT,GB,NGM,Private Road 4,Colwick Industrial Estate,Nottingham NG4 2JT,United Kingdom,+44 115 940 1302
tall-trees-garden-centre-nottingham,Tall Trees Garden Centre,gardening,Nurseries & Gardening,52.997821,-1.020711,Main Road,,Bulcote,Nottingham,NG14 5GT,GB,NGM,Main Road,Bulcote,Nottingham NG14 5GT,United Kingdom,+44 115 931 2356
cutting-edge-nottingham,Cutting Edge,gardening,Nurseries & Gardening,52.9719,-1.245,Golder Close House,Main Street,Strelley,Nottingham,NG8 6PD,GB,NGM,Golder Close House,Main Street,Strelley,Nottingham NG8 6PD,+44 115 929 0551
abc-nottingham-exterior-property-services-nottingham,Abc Nottingham Exterior Property Services,gardening,Nurseries & Gardening,52.884061,-1.269895,1 Sedgemoor Road,,Long Eaton,Nottingham,NG10 1PY,GB,NGM,1 Sedgemoor Road,Long Eaton,Nottingham NG10 1PY,United Kingdom,+44 808 155 4591
lanes-garden-centre-derby,Lanes Garden Centre,gardening,Nurseries & Gardening,52.91408,-1.31992,near Meadow Farm,Breaston Lane,Risley,Derby,DE72 3TT,GB,DER,near Meadow Farm,Breaston Lane,Risley,Derby DE72 3TT,+44 115 939 7128
n-and-s-wright-nottingham,N & S Wright,gardening,Nurseries & Gardening,52.909171,-1.017105,Fosse Cottage,The Fosse,Cotgrave,Nottingham,NG12 3HF,GB,NGM,Fosse Cottage,The Fosse,Cotgrave,Nottingham NG12 3HF,+44 115 989 3329
wallington-tipper-service-nottingham,Wallington Tipper Service,gardening,Nurseries & Gardening,53.0756661,-1.2948032,10 Chapel Street,,Selston,Nottingham,NG16 6AZ,GB,NGM,10 Chapel Street,Selston,Nottingham NG16 6AZ,United Kingdom,+44 1773 863279
cpb-plant-and-transport-nottingham,CPB Plant & Transport,gardening,Nurseries & Gardening,53.02409,-1.21532,Unit D Daniels Way,,Hucknall,Nottingham,NG15 7LL,GB,NGM,Unit D Daniels Way,Hucknall,Nottingham NG15 7LL,United Kingdom,+44 115 964 2965
east-midlands-digger-hire-ilkeston,East Midlands Digger Hire,gardening,Nurseries & Gardening,52.9790847,-1.3043782,21a Barker Gate,,,Ilkeston,DE7 8DS,GB,DBY,21a Barker Gate,Ilkeston DE7 8DS,United Kingdom,,+44 115 930 5832
long-eaton-plant-hire-ilkeston,Long Eaton Plant Hire,gardening,Nurseries & Gardening,52.950451,-1.294274,Crompton Road Industrial Estate,Crompton Road,,Ilkeston,DE7 4BG,GB,DBY,Crompton Road Industrial Estate,Crompton Road,Ilkeston DE7 4BG,United Kingdom,+44 115 932 7121
paul-wainwright-plant-hire-nottingham,Paul Wainwright Plant Hire,gardening,Nurseries & Gardening,53.021749,-1.022644,Meribel,Old Epperstone Road,Lowdham,Nottingham,NG14 7BZ,GB,NGM,Meribel,Old Epperstone Road,Lowdham,Nottingham NG14 7BZ,+44 115 966 4081
r-j-holland-nottingham,R J Holland,gardening,Nurseries & Gardening,52.892278,-1.258475,Thrumpton Avenue,,Long Eaton,Nottingham,NG10 2GB,GB,NGM,Thrumpton Avenue,Long Eaton,Nottingham NG10 2GB,United Kingdom,+44 115 946 1127
reuben-shaw-and-sons-nottingham,Reuben Shaw & Sons,gardening,Nurseries & Gardening,53.028117,-1.281884,Hollydene Nursery,121 Moorgreen,Newthorpe,Nottingham,NG16 2FF,GB,NGM,Hollydene Nursery,121 Moorgreen,Newthorpe,Nottingham NG16 2FF,+44 1773 714326
allsop-bros-ilkeston,Allsop Bros,gardening,Nurseries & Gardening,53.0037,-1.38465,Holly Mount Farm,Heanor Road,Smalley,Ilkeston,DE7 6DW,GB,DBY,Holly Mount Farm,Heanor Road,Smalley,Ilkeston DE7 6DW,+44 1332 880340
rail-plant-nottingham,Rail Plant,gardening,Nurseries & Gardening,52.907576,-1.259597,16a Carrfield Avenue,,Beeston,Nottingham,NG9 6FF,GB,NGM,16a Carrfield Avenue,Beeston,Nottingham NG9 6FF,United Kingdom,+44 115 946 4377
mackay-plant-hire-ilkeston,Mackay Plant Hire,gardening,Nurseries & Gardening,52.950451,-1.294274,Crompton Road,,,Ilkeston,DE7 4BG,GB,DBY,Crompton Road,Ilkeston DE7 4BG,United Kingdom,,+44 115 930 9570
h-c-l-equipment-ilkeston,H C L Equipment,gardening,Nurseries & Gardening,52.94436,-1.29692,Lows Lane,,Stanton-by-Dale,Ilkeston,DE7 4QU,GB,DBY,Lows Lane,Stanton-by-Dale,Ilkeston DE7 4QU,United Kingdom,+44 115 930 0330
marriott-mr-a-nottingham,Marriott Mr A,gardening,Nurseries & Gardening,52.9532421,-1.2810463,5 Nottingham Road Trowell,,,Nottingham,NG9 3PA,GB,NGM,5 Nottingham Road Trowell,Nottingham NG9 3PA,United Kingdom,,
barrie-wilkinson-ground-works-nottingham,Barrie Wilkinson Ground Works,gardening,Nurseries & Gardening,52.891371,-1.152425,Shaw Street,,Ruddington,Nottingham,NG11 6HF,GB,NGM,Shaw Street,Ruddington,Nottingham NG11 6HF,United Kingdom,+44 115 921 3377
david-a-plant-nottingham,David A Plant,gardening,Nurseries & Gardening,52.9908324,-1.0278549,22 Wellington Road Burton Joyce,,,Nottingham,NG14 5GQ,GB,NGM,22 Wellington Road Burton Joyce,Nottingham NG14 5GQ,United Kingdom,,+44 115 911 8010
ashtead-plant-hire-co-nottingham,Ashtead Plant Hire Co,gardening,Nurseries & Gardening,52.904575,-1.239829,Eldon Way,Nottingham Road,Beeston,Nottingham,NG9 6DP,GB,NGM,Eldon Way,Nottingham Road,Beeston,Nottingham NG9 6DP,+44 115 925 2417
collins-contactors-plant-hire-nottingham,Collin's Contactors Plant Hire,gardening,Nurseries & Gardening,53.0337938,-1.2275953,40 Rockwood CR,,Hucknall,Nottingham,NG15 6PY,GB,NGM,40 Rockwood CR,Hucknall,Nottingham NG15 6PY,United Kingdom,+44 115 963 3684
cannon-plant-nottingham,Cannon Plant,gardening,Nurseries & Gardening,53.0036706,-1.2695746,25 Millfield Road,,Kimberley,Nottingham,NG16 2LJ,GB,NGM,25 Millfield Road,Kimberley,Nottingham NG16 2LJ,United Kingdom,+44 115 938 5031
mackay-plant-hire-nottingham,Mackay Plant Hire,gardening,Nurseries & Gardening,52.9021655,-1.0953771,39 High Meadow,,Tollerton,Nottingham,NG12 4DZ,GB,NGM,39 High Meadow,Tollerton,Nottingham NG12 4DZ,United Kingdom,+44 115 937 2890
chanro-gardens-nottingham,Chanro Gardens,gardening,Nurseries & Gardening,53.0426311,-1.1807084,267 Moor Road,,Papplewick,Nottingham,NG15 8EP,GB,NGM,267 Moor Road,Papplewick,Nottingham NG15 8EP,United Kingdom,+44 115 963 3631
cave-plant-hire-and-contractors-nottingham,Cave Plant Hire & Contractors,gardening,Nurseries & Gardening,53.0242151,-1.2299888,60 Christchurch Road,,Hucknall,Nottingham,NG15 6SA,GB,NGM,60 Christchurch Road,Hucknall,Nottingham NG15 6SA,United Kingdom,+44 115 963 9868
sinbad-tools-nottingham-2,Sinbad Tools,gardening,Nurseries & Gardening,52.938853,-1.262754,Hickings Lane,,Stapleford,Nottingham,NG9 8PJ,GB,NGM,Hickings Lane,Stapleford,Nottingham NG9 8PJ,United Kingdom,+44 115 922 3527
terratruck-hire-centres-nottingham,Terratruck Hire Centres,gardening,Nurseries & Gardening,53.0340678,-1.1972364,87-89 Portland Road,,Hucknall,Nottingham,NG15 7SF,GB,NGM,87-89 Portland Road,Hucknall,Nottingham NG15 7SF,United Kingdom,+44 115 963 5521
