alias,name,category_alias,category_title,latitude,longitude,address1,address2,address3,city,zip_code,country,state,display_address_0,display_address_1,display_address_2,display_address_3,display_phone
mower-co-nottingham,Mower Co,gardening,Nurseries & Gardening,53.0232052,-1.2220528,361-363 Watnall Road,,Hucknall,Nottingham,NG15 6EP,GB,NGM,361-363 Watnall Road,Hucknall,Nottingham NG15 6EP,United Kingdom,+44 115 963 3909
greenwood-gardens-nottingham,Greenwood Gardens,gardening,Nurseries & Gardening,53.038766,-1.132849,Ollerton Road,,Arnold,Nottingham,NG5 8PR,GB,NGM,Ollerton Road,Arnold,Nottingham NG5 8PR,United Kingdom,+44 115 920 5757
richards-plants-chesterfield,Richards Plants,gardening,Nurseries & Gardening,53.1834488,-1.35783,Tibshelf Road,Holmewood,,Chesterfield,S42 5TA,GB,DBY,Tibshelf Road,Holmewood,Chesterfield S42 5TA,United Kingdom,+44 1246 852596
crop-shop-hydroponics-sutton-in-ashfield,crop shop hydroponics,gardening,Nurseries & Gardening,53.088199455569,-1.31883144378662,44 Brookhill Road,pinxton,,Sutton-in-Ashfield,NG17 1EP,GB,NGM,44 Brookhill Road,pinxton,Sutton-in-Ashfield NG17 1EP,United Kingdom,+44 7977 431276
van-gemerens-chesterfield,Van Gemerens,gardening,Nurseries & Gardening,53.2137625,-1.3935964,Chesterfield Garden Centre Mansfield Road,,,Chesterfield,S41 0JL,GB,DBY,Chesterfield Garden Centre Mansfield Road,Chesterfield S41 0JL,United Kingdom,,+44 1246 234710
keycraft-nottingham,Keycraft,gardening,Nurseries & Gardening,53.0211266330463,-1.222468364512,The Aerodrome Watnall Rd,,Hucknall,Nottingham,NG15 6EN,GB,NTT,The Aerodrome Watnall Rd,Hucknall,Nottingham NG15 6EN,United Kingdom,+44 115 968 0003
burrows-bros-nottingham,Burrows Bros,gardening,Nurseries & Gardening,53.091275,-1.275846,Park Lane,,Kirkby-in-Ashfield,Nottingham,NG17 9LE,GB,NGM,Park Lane,Kirkby-in-Ashfield,Nottingham NG17 9LE,United Kingdom,+44 1623 758606
brooklands-nurseries-nottingham,Brooklands Nurseries,gardening,Nurseries & Gardening,53.068061,-1.222529,Newstead Abbey Park,,Ravenshead,Nottingham,NG15 8GD,GB,NTT,Newstead Abbey Park,Ravenshead,Nottingham NG15 8GD,United Kingdom,+44 1623 490905
the-internet-gardener-nottingham,The Internet Gardener,gardening,Nurseries & Gardening,53.0365504,-1.083098,Unit 2 Daleside HOuse Unit 2 Daleside HOuse,Calverton,,Nottingham,NG14 6FG,GB,NTT,Unit 2 Daleside HOuse Unit 2 Daleside HOuse,Calverton,Nottingham NG14 6FG,United Kingdom,+44 845 094 1707
kirk-silo-installations-mansfield,Kirk Silo Installations,gardening,Nurseries & Gardening,53.147277,-1.207846,1 Ladybrook Lane,,,Mansfield,NG18 5JA,GB,NTT,1 Ladybrook Lane,Mansfield NG18 5JA,United Kingdom,,+44 1623 621999
hire-station-sutton-in-ashfield,Hire Station,gardening,Nurseries & Gardening,53.122846,-1.309326,Nunn Brook Road,,Huthwaite,Sutton In Ashfield,NG17 2HU,GB,NTT,Nunn Brook Road,Huthwaite,Sutton In Ashfield NG17 2HU,United Kingdom,+44 1623 558767
gregorys-roses-nottingham,Gregorys Roses,gardeners,Gardeners,53.0742295,-1.1521431,Longdale craft centre Longdale Lane,Ravenshead,,Nottingham,NG15 9AH,GB,NGM,Longdale craft centre Longdale Lane,Ravenshead,Nottingham NG15 9AH,United Kingdom,+44 7957 763903
timmermans-of-woodborough-nottingham,Timmermans Of Woodborough,gardening,Nurseries & Gardening,53.0229606,-1.0512209,Lowdham Lane,Woodborough,,Nottingham,NG14,GB,NGM,Lowdham Lane,Woodborough,Nottingham NG14,United Kingdom,+44 115 966 4033
lowes-hardware-and-tool-hire-mansfield,Lowes Hardware & Tool Hire,gardening,Nurseries & Gardening,53.154224,-1.192944,Oxford Street,,,Mansfield,NG18 2BE,GB,NTT,Oxford Street,Mansfield NG18 2BE,United Kingdom,,+44 1623 655719
sherwood-garden-centre-mansfield,Sherwood Garden Centre,gardening,Nurseries & Gardening,53.146806,-1.174274,7-9 Sherwood Hall Road,,,Mansfield,NG18 2NH,GB,NTT,7-9 Sherwood Hall Road,Mansfield NG18 2NH,United Kingdom,,+44 1623 624923
b-and-b-plant-hire-mansfield,B & B Plant Hire,gardening,Nurseries & Gardening,53.155104,-1.1538751,4 Stanley Road,,Forest Town,Mansfield,NG19 0BY,GB,NTT,4 Stanley Road,Forest Town,Mansfield NG19 0BY,United Kingdom,+44 1623 429629
portland-mini-diggers-mansfield,Portland Mini Diggers,gardening,Nurseries & Gardening,53.160239,-1.161812,11 Birchcroft Drive,,Mansfield Woodhouse,Mansfield,NG19 9GA,GB,NTT,11 Birchcroft Drive,Mansfield Woodhouse,Mansfield NG19 9GA,United Kingdom,+44 1623 662167
d-shaw-and-sons-plant-hire-mansfield,D Shaw & Sons Plant Hire,gardening,Nurseries & Gardening,53.1451255,-1.2144269,155 Bancroft Lane,,,Mansfield,NG18 5LZ,GB,NTT,155 Bancroft Lane,Mansfield NG18 5LZ,United Kingdom,,+44 1623 479210
cpm-mansfield,CPM,gardening,Nurseries & Gardening,53.1456281,-1.1587159,4 Violet Hill,,,Mansfield,NG18 3EG,GB,NTT,4 Violet Hill,Mansfield NG18 3EG,United Kingdom,,+44 1623 636407
rainworth-garden-centre-mansfield,Rainworth Garden Centre,gardening,Nurseries & Gardening,53.123587,-1.136284,Southwell Road East,,Rainworth,Mansfield,NG21 0EW,GB,NTT,Southwell Road East,Rainworth,Mansfield NG21 0EW,United Kingdom,+44 1623 796316
pleasley-vale-plant-nursery-mansfield,Pleasley Vale Plant Nursery,gardening,Nurseries & Gardening,53.184362,-1.237616,North Field Warehouse,Common Lane,Pleasley Vale,Mansfield,NG19 8RZ,GB,NTT,North Field Warehouse,Common Lane,Pleasley Vale,Mansfield NG19 8RZ,+44 1623 810188
park-hall-plants-mansfield,Park Hall Plants,gardening,Nurseries & Gardening,53.178892,-1.189204,The Walled Garden,Park Hall Road,Mansfield Woodhouse,Mansfield,NG19 8QX,GB,NTT,The Walled Garden,Park Hall Road,Mansfield Woodhouse,Mansfield NG19 8QX,+44 7971 545740
boss-plant-mansfield,Boss Plant,gardening,Nurseries & Gardening,53.09797,-1.113394,Dale Lane,,Blidworth,Mansfield,NG21 0TG,GB,NTT,Dale Lane,Blidworth,Mansfield NG21 0TG,United Kingdom,+44 1623 464450
r-and-s-lawnmowers-mansfield,R & S Lawnmowers,gardening,Nurseries & Gardening,53.195132,-1.147481,7 Cottage Lane,,Warsop,Mansfield,NG20 0HR,GB,NTT,7 Cottage Lane,Warsop,Mansfield NG20 0HR,United Kingdom,+44 1623 842419
datort-mansfield,Datort,gardening,Nurseries & Gardening,53.18846,-1.0667899,Station House,Station Lane,,Mansfield,NG21 9HT,GB,NTT,Station House,Station Lane,Mansfield NG21 9HT,United Kingdom,+44 1623 882150
j-and-s-tools-sutton-in-ashfield,J & S Tools,gardening,Nurseries & Gardening,53.122712,-1.2341007,6b Hamilton Road,,,Sutton In Ashfield,NG17 5LD,GB,NTT,6b Hamilton Road,Sutton In Ashfield NG17 5LD,United Kingdom,,+44 1623 557092
butler-mrs-yvonne-sutton-in-ashfield,Butler Mrs Yvonne,gardening,Nurseries & Gardening,53.1192169,-1.2335334,26 Searby Road,,,Sutton-in-Ashfield,NG17 5JR,GB,NTT,26 Searby Road,Sutton-in-Ashfield NG17 5JR,United Kingdom,,+44 1623 550618
d-a-brooks-plant-hire-sutton-in-ashfield-2,D A Brooks Plant Hire,gardening,Nurseries & Gardening,53.1423484,-1.2560261,179 Mansfield Road Skegby,,,Sutton-in-Ashfield,NG17,GB,NTT,179 Mansfield Road Skegby,Sutton-in-Ashfield NG17,United Kingdom,,+44 7850 544587
brooks-haulage-sutton-in-ashfield,Brooks Haulage,gardening,Nurseries & Gardening,53.133049,-1.254129,Redcliffe Street,,,Sutton In Ashfield,NG17 4ES,GB,NTT,Redcliffe Street,Sutton In Ashfield NG17 4ES,United Kingdom,,+44 1623 441255
b-h-e-plant-nottingham,B.H.E Plant,gardening,Nurseries & Gardening,53.1086699,-1.25323,Summit Close,,Kirkby-In-Ashfield,Nottingham,NG17 8GJ,GB,NGM,Summit Close,Kirkby-In-Ashfield,Nottingham NG17 8GJ,United Kingdom,+44 1623 722277
grassin-stuff-nottingham,Grassin Stuff,gardening,Nurseries & Gardening,53.09893,-1.2549999,Unit 15,Urban Road Business Park,Kirkby-in-Ashfield,Nottingham,NG17 8AP,GB,NGM,Unit 15,Urban Road Business Park,Kirkby-in-Ashfield,Nottingham NG17 8AP,+44 7901 756181
d-p-tool-hire-nottingham,D P Tool Hire,gardening,Nurseries & Gardening,53.097241,-1.243592,29 Kingsway,,Kirkby-in-Ashfield,Nottingham,NG17 7DR,GB,NGM,29 Kingsway,Kirkby-in-Ashfield,Nottingham NG17 7DR,United Kingdom,+44 1623 752829
ivan-elliott-nottingham,Ivan Elliott,gardening,Nurseries & Gardening,53.092308,-1.150529,Main Road,,Ravenshead,Nottingham,NG15 9GX,GB,NGM,Main Road,Ravenshead,Nottingham NG15 9GX,United Kingdom,+44 1623 794903
glapwell-nurseries-chesterfield,Glapwell Nurseries,gardening,Nurseries & Gardening,53.19549,-1.28331,Glapwell Nurseries,Glapwell Lane,Glapwell,Chesterfield,S44 5PY,GB,DBY,Glapwell Nurseries,Glapwell Lane,Glapwell,Chesterfield S44 5PY,+44 1623 812191
mackay-plant-hire-nottingham-2,Mackay Plant Hire,gardening,Nurseries & Gardening,53.079436,-1.19588,Gun RM,Newstead Abbey Park,,Nottingham,NG15 8GE,GB,NGM,Gun RM,Newstead Abbey Park,Nottingham NG15 8GE,United Kingdom,+44 1623 798402
total-hire-and-sales-sutton-in-ashfield,Total Hire & Sales,gardening,Nurseries & Gardening,53.1275161,-1.2900974,6 Sutton Road,,Huthwaite,Sutton In Ashfield,NG17 2NW,GB,NTT,6 Sutton Road,Huthwaite,Sutton In Ashfield NG17 2NW,United Kingdom,+44 1623 510066
carl-wright-haulage-and-plant-nottingham,Carl Wright Haulage & Plant,gardening,Nurseries & Gardening,53.095776,-1.275337,Bentinck Station,Church Hill,Kirkby-in-Ashfield,Nottingham,NG17 8LR,GB,NGM,Bentinck Station,Church Hill,Kirkby-in-Ashfield,Nottingham NG17 8LR,+44 1623 721168
cave-plant-hire-and-contractors-nottingham,Cave Plant Hire & Contractors,gardening,Nurseries & Gardening,53.0242151,-1.2299888,60 Christchurch Road,,Hucknall,Nottingham,NG15 6SA,GB,NGM,60 Christchurch Road,Hucknall,Nottingham NG15 6SA,United Kingdom,+44 115 963 9868
terratruck-hire-centres-nottingham,Terratruck Hire Centres,gardening,Nurseries & Gardening,53.0340678,-1.1972364,87-89 Portland Road,,Hucknall,Nottingham,NG15 7SF,GB,NGM,87-89 Portland Road,Hucknall,Nottingham NG15 7SF,United Kingdom,+44 115 963 5521
reuben-shaw-and-sons-nottingham,Reuben Shaw & Sons,gardening,Nurseries & Gardening,53.028117,-1.281884,Hollydene Nursery,121 Moorgreen,Newthorpe,Nottingham,NG16 2FF,GB,NGM,Hollydene Nursery,121 Moorgreen,Newthorpe,Nottingham NG16 2FF,+44 1773 714326
alma-rail-plant-chesterfield,Alma Rail Plant,gardening,Nurseries & Gardening,53.191014,-1.388918,Alma Farm North Wingfield,,North Wingfield,Chesterfield,S42 5LA,GB,DBY,Alma Farm North Wingfield,North Wingfield,Chesterfield S42 5LA,United Kingdom,+44 1246 850364
lakeside-garden-centre-newark,Lakeside Garden Centre,gardening,Nurseries & Gardening,53.17593,-1.04131,Rufford Country Park,,Rufford,Newark,NG22 9DG,GB,NTT,Rufford Country Park,Rufford,Newark NG22 9DG,United Kingdom,+44 1623 824153
g-w-h-slab-and-block-paving-alfreton,G W H Slab & Block Paving,gardening,Nurseries & Gardening,53.0716594,-1.3758595,41 Peak Avenue,Riddings,,Alfreton,DE55 4AR,GB,DBY,41 Peak Avenue,Riddings,Alfreton DE55 4AR,United Kingdom,+44 1773 605241
european-plant-hire-services-alfreton,European Plant Hire Services,gardening,Nurseries & Gardening,53.1006,-1.37228,Unit D3 Meadow Lane Indust Estate,Salcombe Road,,Alfreton,DE55 7RG,GB,DBY,Unit D3 Meadow Lane Indust Estate,Salcombe Road,Alfreton DE55 7RG,United Kingdom,+44 1773 835900
collins-contactors-plant-hire-nottingham,Collin's Contactors Plant Hire,gardening,Nurseries & Gardening,53.0337938,-1.2275953,40 Rockwood CR,,Hucknall,Nottingham,NG15 6PY,GB,NGM,40 Rockwood CR,Hucknall,Nottingham NG15 6PY,United Kingdom,+44 115 963 3684
clee-hill-plants-chesterfield,Clee Hill Plants,gardening,Nurseries & Gardening,53.207983,-1.386835,Mansfield Road,,Corbriggs,Chesterfield,S41 0JW,GB,DBY,Mansfield Road,Corbriggs,Chesterfield S41 0JW,United Kingdom,+44 1246 551637
construction-equipment-plant-sales-alfreton,Construction Equipment Plant Sales,gardening,Nurseries & Gardening,53.08747,-1.38182,Whites Close,,,Alfreton,DE55 7RB,GB,DBY,Whites Close,Alfreton DE55 7RB,United Kingdom,,+44 1773 606020
r-h-clayton-and-sons-chesterfield,R H Clayton & Sons,gardening,Nurseries & Gardening,53.183851,-1.373651,Smallacres Farm,Williamthorpe Road,North Wingfield,Chesterfield,S42 5NR,GB,DBY,Smallacres Farm,Williamthorpe Road,North Wingfield,Chesterfield S42 5NR,+44 1246 851241
cpb-plant-and-transport-nottingham,CPB Plant & Transport,gardening,Nurseries & Gardening,53.02409,-1.21532,Unit D Daniels Way,,Hucknall,Nottingham,NG15 7LL,GB,NGM,Unit D Daniels Way,Hucknall,Nottingham NG15 7LL,United Kingdom,+44 115 964 2965
b-and-g-newark,B&G,gardening,Nurseries & Gardening,53.1025449,-1.035126,43 Main Street,,Farnsfield,Newark,NG22 8EF,GB,NTT,43 Main Street,Farnsfield,Newark NG22 8EF,United Kingdom,+44 1623 882219
eric-taylor-chesterfield,Eric Taylor,gardening,Nurseries & Gardening,53.206603,-1.340396,Shire Lane,,Heath,Chesterfield,S44 5SQ,GB,DBY,Shire Lane,Heath,Chesterfield S44 5SQ,United Kingdom,+44 1246 850449
roweplant-plant-and-machinery-hire-alfreton,Roweplant Plant & Machinery Hire,gardening,Nurseries & Gardening,53.150311,-1.335008,106 Chesterfield Road,,Tibshelf,Alfreton,DE55 5NL,GB,DBY,106 Chesterfield Road,Tibshelf,Alfreton DE55 5NL,United Kingdom,+44 1773 874660
n-a-l-plant-chesterfield,N A L Plant,gardening,Nurseries & Gardening,53.23077,-1.2862,Farnsworth Farm,Welbeck Road,Bolsover,Chesterfield,S44 6XF,GB,DBY,Farnsworth Farm,Welbeck Road,Bolsover,Chesterfield S44 6XF,+44 1246 241066
hi-reach-access-nottingham,Hi Reach Access,gardening,Nurseries & Gardening,53.091275,-1.275846,Unit 1 Park Lane,,Kirkby-in-Ashfield,Nottingham,NG17 9LE,GB,NGM,Unit 1 Park Lane,Kirkby-in-Ashfield,Nottingham NG17 9LE,United Kingdom,+44 1623 722700
j-s-pneumatics-alfreton,J S Pneumatics,gardening,Nurseries & Gardening,53.144086,-1.326313,Unit 7 Sawpit Lane,,Tibshelf,Alfreton,DE55 5NH,GB,DBY,Unit 7 Sawpit Lane,Tibshelf,Alfreton DE55 5NH,United Kingdom,+44 1773 590012
hardstoft-landscapes-alfreton,Hardstoft Landscapes,gardening,Nurseries & Gardening,53.15304,-1.33742,Oilwell Nurseries,Chesterfield Road,Tibshelf,Alfreton,DE55 5NP,GB,DBY,Oilwell Nurseries,Chesterfield Road,Tibshelf,Alfreton DE55 5NP,+44 1773 874321
chanro-gardens-nottingham,Chanro Gardens,gardening,Nurseries & Gardening,53.0426311,-1.1807084,267 Moor Road,,Papplewick,Nottingham,NG15 8EP,GB,NGM,267 Moor Road,Papplewick,Nottingham NG15 8EP,United Kingdom,+44 115 963 3631
dalestorth-nurseries-newark,Dalestorth Nurseries,gardening,Nurseries & Gardening,53.11465,-1.04512,Cockett Lane,,Farnsfield,Newark,NG22 8JQ,GB,NTT,Cockett Lane,Farnsfield,Newark NG22 8JQ,United Kingdom,+44 1623 883187
byard-plant-hire-alfreton,Byard Plant Hire,gardening,Nurseries & Gardening,53.15304,-1.33742,Biggin Farm,Chesterfield Road,Tibshelf,Alfreton,DE55 5NP,GB,DBY,Biggin Farm,Chesterfield Road,Tibshelf,Alfreton DE55 5NP,+44 1773 874394
k-s-hall-chesterfield,K S Hall,gardening,Nurseries & Gardening,53.163691,-1.342325,Poplar Farm,The Green Hardstoft,Pilsley,Chesterfield,S45 8AG,GB,DBY,Poplar Farm,The Green Hardstoft,Pilsley,Chesterfield S45 8AG,+44 1246 853472
walesby-garden-centre-newark,Walesby Garden Centre,gardening,Nurseries & Gardening,53.225465,-0.987111,Sandhurst,Brake Road,Walesby,Newark,NG22 9NQ,GB,NTT,Sandhurst,Brake Road,Walesby,Newark NG22 9NQ,+44 1623 860382
ace-garden-machinery-chesterfield,Ace Garden Machinery,gardening,Nurseries & Gardening,53.213771,-1.393611,Mansfield Road,,Hasland,Chesterfield,S41 0JL,GB,DBY,Mansfield Road,Hasland,Chesterfield S41 0JL,United Kingdom,+44 1246 550028
plant-zone-chesterfield,Plant Zone,gardening,Nurseries & Gardening,53.26059,-1.3502,Silver House Ireland Industrial Estate,Adelphi Way,Staveley,Chesterfield,S43 3LJ,GB,DBY,Silver House Ireland Industrial Estate,Adelphi Way,Staveley,Chesterfield S43 3LJ,+44 1246 472727
paul-wainwright-plant-hire-nottingham,Paul Wainwright Plant Hire,gardening,Nurseries & Gardening,53.021749,-1.022644,Meribel,Old Epperstone Road,Lowdham,Nottingham,NG14 7BZ,GB,NGM,Meribel,Old Epperstone Road,Lowdham,Nottingham NG14 7BZ,+44 115 966 4081
d-chamberlain-joinery-ripley,D Chamberlain Joinery,gardening,Nurseries & Gardening,53.0319239,-1.3787203,33 Middleton Avenue Codnor,,,Ripley,DE5 9SS,GB,DBY,33 Middleton Avenue Codnor,Ripley DE5 9SS,United Kingdom,,+44 1773 512157
j-p-k-services-newark,J P K Services,gardening,Nurseries & Gardening,53.225465,-0.987111,Walesby Garden Centre,Brake Road,Walesby,Newark,NG22 9NQ,GB,NTT,Walesby Garden Centre,Brake Road,Walesby,Newark NG22 9NQ,+44 1623 860036
bolts-tools-hire-ripley,Bolts Tools Hire,gardening,Nurseries & Gardening,53.0522471,-1.3949904,132 Nottingham Road,,,Ripley,DE5 3AX,GB,DBY,132 Nottingham Road,Ripley DE5 3AX,United Kingdom,,+44 1773 740233
kingfisher-water-garden-centre-heanor,Kingfisher Water Garden Centre,gardening,Nurseries & Gardening,53.021114,-1.365634,Heanor Road,,Loscoe,Heanor,DE75 7JT,GB,DBY,Heanor Road,Loscoe,Heanor DE75 7JT,United Kingdom,+44 1773 533553
shipley-garden-and-aquatic-centre-heanor,Shipley Garden & Aquatic Centre,gardening,Nurseries & Gardening,53.000522,-1.333243,Hassock La North,,Shipley,Heanor,DE75 7JB,GB,DBY,Hassock La North,Shipley,Heanor DE75 7JB,United Kingdom,+44 1773 713596
r-smith-contractors-nottingham,R Smith Contractors,gardening,Nurseries & Gardening,53.0771333,-1.252856,122 Forest Road,,Kirkby-in-Ashfield,Nottingham,NG17 9HH,GB,NGM,122 Forest Road,Kirkby-in-Ashfield,Nottingham NG17 9HH,United Kingdom,+44 1623 753161
